0.13065,0.32218,0.12948,0.34706,0.30048,0.53507,0.31193,0.59841,0.1402,0.37751,0.13375,0.38928,0.36523,0.66272,0.37127,0.7214,0.26555,0.50383,0.27112,0.54876,0.46819,0.73192,0.49141,0.81578,0.282,0.5571,0.28101,0.58129,0.5402,0.85976,0.55475,0.92483
0.14308,0.33924,0.14291,0.3643,0.32029,0.56011,0.33178,0.62102,0.1536,0.40148,0.14858,0.41716,0.38868,0.69403,0.39661,0.75665,0.28428,0.53012,0.29001,0.57064,0.49654,0.76055,0.52089,0.84319,0.29707,0.57098,0.29899,0.59484,0.55727,0.88483,0.57219,0.94621
0.15601,0.35581,0.15661,0.38062,0.33952,0.585,0.35022,0.64062,0.16635,0.42437,0.16244,0.44267,0.41204,0.72249,0.42084,0.78933,0.29914,0.55424,0.30431,0.58348,0.52592,0.78726,0.54994,0.86767,0.30886,0.57666,0.31366,0.59949,0.56581,0.90514,0.57979,0.9596
0.17023,0.37574,0.17105,0.39849,0.36086,0.61361,0.37036,0.6629,0.17802,0.44617,0.17468,0.4661,0.43657,0.74656,0.44458,0.81593,0.30866,0.57087,0.31404,0.58102,0.55417,0.81382,0.57571,0.89091,0.32061,0.58086,0.32828,0.60485,0.56836,0.92134,0.58206,0.97058
0.18419,0.3997,0.18391,0.41672,0.38319,0.64646,0.39207,0.68939,0.18433,0.46375,0.18057,0.48219,0.4599,0.76465,0.46498,0.82885,0.31322,0.56423,0.32081,0.55822,0.56773,0.83431,0.58356,0.90249,0.33351,0.59182,0.34326,0.61973,0.57241,0.93305,0.58823,0.99033
0.19557,0.42391,0.19233,0.43342,0.39986,0.68051,0.41019,0.7167,0.1813,0.47599,0.17571,0.48649,0.47932,0.7824,0.48011,0.83671,0.31962,0.54002,0.32972,0.53782,0.5607,0.8455,0.56991,0.89465,0.34736,0.60854,0.3579,0.64325,0.58533,0.94147,0.60216,1.0166
0.20173,0.44184,0.19373,0.44648,0.40466,0.70994,0.4178,0.73868,0.16871,0.48314,0.1602,0.48024,0.49258,0.80048,0.48904,0.84476,0.32899,0.51547,0.34083,0.53073,0.53906,0.84288,0.54429,0.86393,0.36105,0.62663,0.37128,0.67038,0.60612,0.94868,0.62019,1.0332
0.2001,0.44726,0.18661,0.45392,0.39983,0.73013,0.41371,0.75087,0.15292,0.49064,0.14093,0.47331,0.50085,0.82085,0.49506,0.85644,0.3409,0.50235,0.35361,0.53448,0.51664,0.82505,0.52149,0.81882,0.37441,0.64741,0.38355,0.69798,0.63321,0.96161,0.64229,1.0403
0.18522,0.43139,0.16772,0.44798,0.38718,0.73072,0.39803,0.74277,0.1437,0.50697,0.12767,0.47925,0.5058,0.84553,0.5036,0.87511,0.35317,0.50152,0.3659,0.54379,0.50074,0.79461,0.50739,0.77418,0.38519,0.67025,0.39251,0.71956,0.66383,0.9794,0.66687,1.0436
0.15653,0.39351,0.13835,0.42015,0.36778,0.70569,0.37317,0.70769,0.1477,0.53499,0.12717,0.50567,0.50846,0.87477,0.51769,0.9027,0.36353,0.5104,0.37532,0.5555,0.49471,0.77057,0.5031,0.75102,0.3908,0.69219,0.39537,0.72885,0.69369,0.99788,0.69052,1.047
